CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CD_CURSO_PPG,CD_CONCEITO_CURSO
12001015007P9,2014,49,2,4.0
12001015007P9,2015,49,2,4.0
12001015007P9,2016,49,2,4.0
12001015007P9,2017,49,2,4.0
12001015007P9,2018,49,2,4.0
12001015007P9,2019,49,2,4.0
12001015008P5,2013,5,1,3.0
12001015008P5,2014,5,1,3.0
12001015008P5,2015,5,1,3.0
12001015008P5,2016,5,1,3.0
12001015008P5,2017,5,1,3.0
12001015008P5,2018,5,1,3.0
12001015008P5,2019,5,1,3.0
12001015009P1,2013,13,1,3.0
12001015009P1,2014,13,1,3.0
12001015009P1,2015,13,1,3.0
12001015009P1,2016,13,1,3.0
12001015009P1,2017,13,1,3.0
12001015009P1,2018,13,1,3.0
12001015009P1,2019,13,1,3.0
12001015012P2,2013,2,2,5.0
12001015012P2,2014,2,2,5.0
12001015012P2,2015,2,2,5.0
12001015012P2,2016,2,2,5.0
12001015012P2,2017,2,2,5.0
12001015012P2,2018,2,2,5.0
12001015012P2,2019,2,2,5.0
12001015013P9,2013,48,2,4.0
12001015013P9,2014,48,2,4.0
12001015013P9,2015,48,2,4.0
12001015013P9,2016,48,2,4.0
12001015013P9,2017,48,2,4.0
12001015013P9,2018,48,2,4.0
12001015013P9,2019,48,2,4.0
12001015014P5,2013,45,2,3.0
12001015014P5,2014,45,2,3.0
12001015014P5,2015,45,2,3.0
12001015014P5,2016,45,2,3.0
12001015014P5,2017,45,2,2.5
12001015014P5,2018,45,2,2.5
12001015014P5,2019,45,2,2.5
12001015015P1,2013,1,1,4.0
12001015015P1,2014,1,1,4.0
12001015015P1,2015,1,1,4.0
12001015015P1,2016,1,1,4.0
12001015015P1,2017,1,1,4.0
12001015015P1,2018,1,1,4.0
12001015015P1,2019,1,1,4.0
12001015016P8,2013,42,1,3.0
12001015016P8,2014,42,1,3.0
12001015016P8,2015,42,1,3.0
12001015016P8,2016,42,1,3.0
12001015016P8,2017,42,1,3.0
12001015016P8,2018,42,1,3.0
12001015016P8,2019,42,1,3.0
12001015018P0,2013,45,1,3.0
12001015018P0,2014,45,1,3.0
12001015018P0,2015,45,1,3.0
12001015018P0,2016,45,1,3.0
12001015018P0,2017,45,1,1.0
12001015018P0,2018,45,1,1.0
12001015018P0,2019,45,1,1.0
12001015020P5,2013,7,2,2.0
12001015021P1,2013,14,1,3.0
12001015021P1,2014,14,1,3.0
12001015021P1,2015,14,1,3.0
12001015021P1,2016,14,1,3.0
12001015021P1,2017,14,1,4.0
12001015021P1,2018,14,2,4.0
12001015021P1,2019,14,2,4.0
12001015022P8,2013,10,1,3.0
12001015022P8,2014,10,1,3.0
12001015022P8,2015,10,1,3.0
12001015022P8,2016,10,1,3.0
12001015022P8,2017,10,1,2.0
12001015022P8,2018,10,1,2.0
12001015022P8,2019,10,1,2.0
12001015023P4,2013,40,1,3.0
12001015023P4,2014,40,1,3.0
12001015023P4,2015,40,1,3.0
12001015023P4,2016,40,1,3.0
12001015023P4,2017,40,1,4.0
12001015023P4,2018,40,2,4.0
12001015023P4,2019,40,2,4.0
12001015024P0,2013,34,1,3.0
