CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CONCEITO_PROGRAMA,Total_docentes,Mulheres,Homens,Brasileiros,Estrangeiros,QTDE_Regime_Parcial,QTDE_Regime_Integral,QTDE_Regime_Exclusivo,QTDE_Prof_Doutor,QTDE_Prof_NaoDoutor,QTDE_titulados_Brasil,QTDE_titulados_Exterior,Profs_Colaboradores,Profs_ServidoresPublicos,Profs_VinculoCLT,Profs_Aposentados,Profs_BolsaDeFixacao,Total_cursos,MEDIA_CONCEITO_CURSO
28007018017P7,2017,38,4,16,15,1,16,0,0,6,10,16,0,15,1,0,11,5,0,0,1,4.0
28007018017P7,2018,38,4,15,14,1,15,0,0,1,14,15,0,14,1,0,14,1,0,0,1,4.0
28007018017P7,2019,38,4,14,13,1,14,0,0,0,14,14,0,13,1,0,14,0,0,0,1,4.0
28007018018P3,2013,46,3,10,7,3,9,1,1,8,1,10,0,10,0,1,9,0,0,0,1,3.0
28007018018P3,2014,46,3,11,8,3,10,1,2,8,1,11,0,11,0,2,9,0,0,0,1,3.0
28007018018P3,2015,46,3,13,10,3,12,1,2,8,3,13,0,13,0,2,11,0,0,0,1,3.0
28007018018P3,2016,46,3,13,10,3,12,1,2,8,3,13,0,13,0,2,11,0,0,0,1,3.0
28007018018P3,2017,46,3,13,9,4,12,1,2,9,2,13,0,13,0,2,11,0,0,0,1,3.0
28007018018P3,2018,46,3,14,10,4,13,1,2,9,3,14,0,14,0,2,12,0,0,0,1,3.0
28007018018P3,2019,46,3,25,20,5,25,0,6,13,6,25,0,22,3,5,18,1,0,1,1,3.0
28007018019P0,2013,4,3,18,4,14,18,0,1,17,0,18,0,16,2,1,17,0,0,0,1,3.0
28007018019P0,2014,4,3,21,5,16,21,0,1,20,0,21,0,19,2,1,20,0,0,0,1,3.0
28007018019P0,2015,4,3,22,7,15,22,0,1,18,3,22,0,20,2,2,20,0,0,0,1,3.0
28007018019P0,2016,4,3,22,7,15,22,0,1,18,3,22,0,20,2,2,20,0,0,0,1,3.0
28007018019P0,2017,4,3,21,7,14,21,0,0,16,5,21,0,19,2,1,20,0,0,0,1,3.0
28007018019P0,2018,4,3,15,4,11,15,0,0,12,3,15,0,13,2,1,14,0,0,0,1,3.0
28007018019P0,2019,4,3,15,4,11,14,1,0,6,9,15,0,13,2,0,15,0,0,0,1,3.0
28007018075P7,2015,16,3,13,5,8,13,0,1,0,12,13,0,12,1,1,12,0,0,0,1,3.0
28007018075P7,2016,16,3,14,6,8,14,0,1,0,13,14,0,13,1,1,13,0,0,0,1,3.0
28007018075P7,2017,16,3,17,7,10,17,0,3,0,14,17,0,16,1,2,15,0,0,0,1,3.0
28007018075P7,2018,16,3,18,7,11,18,0,3,0,15,18,0,17,1,2,16,0,0,0,1,3.0
28007018075P7,2019,16,3,17,7,10,17,0,4,0,13,17,0,16,1,3,13,1,0,0,1,3.0
28008014002P6,2013,15,4,19,8,11,19,0,2,17,0,19,0,17,2,0,1,18,0,0,2,4.0
28008014002P6,2014,15,4,19,8,11,19,0,2,17,0,19,0,17,2,0,1,18,0,0,2,4.0
28008014002P6,2015,15,4,22,9,13,22,0,5,17,0,22,0,20,2,0,0,22,0,0,2,4.0
28008014002P6,2016,15,4,23,9,14,23,0,6,17,0,23,0,21,2,0,0,23,0,0,2,4.0
28008014002P6,2017,15,4,26,10,16,26,0,10,16,0,26,0,24,2,2,0,24,0,0,2,4.0
28008014002P6,2018,15,3,28,12,16,28,0,9,19,0,28,0,26,2,2,0,25,0,1,2,3.0
28008014002P6,2019,15,3,28,12,16,28,0,9,19,0,28,0,26,2,2,0,25,0,1,2,3.0
28008014003P2,2013,18,3,16,9,7,16,0,0,16,0,16,0,16,0,0,4,12,0,0,1,3.0
28008014003P2,2014,18,3,14,8,6,14,0,0,14,0,14,0,14,0,0,4,10,0,0,1,3.0
28008014003P2,2015,18,3,14,8,6,14,0,0,14,0,14,0,14,0,0,0,14,0,0,1,3.0
28008014003P2,2016,18,3,13,9,4,13,0,0,13,0,13,0,13,0,0,0,13,0,0,1,3.0
28008014003P2,2017,18,3,12,8,4,12,0,0,12,0,12,0,12,0,0,0,12,0,0,1,3.0
28008014003P2,2018,18,3,12,8,4,12,0,0,12,0,12,0,12,0,0,0,12,0,0,1,3.0
28008014003P2,2019,18,3,13,8,5,13,0,0,13,0,13,0,13,0,0,0,13,0,0,1,3.0
28008014004P9,2013,16,3,22,10,12,22,0,3,19,0,22,0,21,1,1,7,14,0,0,1,3.0
28008014004P9,2014,16,3,22,10,12,22,0,3,19,0,22,0,21,1,1,7,14,0,0,1,3.0
28008014004P9,2015,16,3,21,10,11,21,0,2,19,0,21,0,20,1,0,0,21,0,0,1,3.0
28008014004P9,2016,16,3,18,10,8,18,0,2,16,0,18,0,17,1,0,0,18,0,0,1,3.0
28008014004P9,2017,16,3,22,12,10,22,0,5,17,0,22,0,20,2,1,0,21,0,0,1,3.0
28008014004P9,2018,16,3,21,12,9,21,0,5,16,0,21,0,19,2,1,0,20,0,0,1,3.0
28008014004P9,2019,16,3,20,12,8,20,0,4,16,0,20,0,18,2,0,0,20,0,0,1,3.0
28010019065P9,2016,45,3,16,1,15,16,0,0,0,16,16,0,16,0,0,16,0,0,0,1,3.0
28010019065P9,2017,45,3,16,1,15,16,0,0,0,16,16,0,16,0,0,16,0,0,0,1,3.0
28010019065P9,2018,45,3,17,1,16,17,0,0,0,17,17,0,17,0,0,17,0,0,0,1,3.0
28010019065P9,2019,45,3,20,1,19,20,0,0,1,19,20,0,20,0,0,20,0,0,0,1,3.0
28011015003P0,2013,45,2,13,8,5,13,0,6,7,0,12,1,12,1,0,0,13,0,0,1,2.0
28011015003P0,2014,45,2,11,7,4,11,0,6,5,0,10,1,10,1,0,0,11,0,0,1,2.0
28011015003P0,2015,45,2,11,7,4,11,0,6,5,0,10,1,10,1,0,0,11,0,0,1,2.0
28013018001P0,2013,30,4,14,5,9,14,0,0,14,0,14,0,10,4,0,0,14,0,0,2,4.0
28013018001P0,2014,30,4,14,4,10,14,0,0,14,0,14,0,10,4,1,0,13,0,0,2,4.0
28013018001P0,2015,30,4,15,5,10,15,0,1,14,0,15,0,12,3,2,0,13,0,0,2,4.0
28013018001P0,2016,30,4,13,5,8,13,0,1,12,0,13,0,9,4,2,0,11,0,0,2,4.0
28013018001P0,2017,30,4,14,4,10,14,0,1,13,0,14,0,11,3,2,0,12,0,0,2,4.0
28013018001P0,2018,30,3,15,4,11,15,0,0,15,0,15,0,12,3,3,0,12,0,0,2,3.0
28013018001P0,2019,30,3,16,4,12,16,0,1,15,0,16,0,13,3,3,0,13,0,0,2,3.0
28013018002P6,2013,2,2,8,0,8,8,0,0,0,8,7,1,5,3,0,0,8,0,0,1,2.0
28013018003P2,2013,45,3,15,2,13,14,1,0,15,0,13,2,11,4,0,0,15,0,0,1,3.0
28013018003P2,2014,45,3,16,2,14,15,1,0,16,0,14,2,12,4,0,0,16,0,0,1,3.0
28013018003P2,2015,45,3,13,2,11,12,1,1,12,0,11,2,13,0,0,0,13,0,0,1,3.0
28013018003P2,2016,45,3,13,2,11,12,1,1,12,0,12,1,13,0,0,0,13,0,0,1,3.0
28013018003P2,2017,45,3,17,2,15,17,0,2,15,0,16,1,17,0,0,0,17,0,0,1,3.0
28013018003P2,2018,45,3,11,2,9,11,0,3,8,0,10,1,11,0,0,0,11,0,0,1,3.0
28013018004P9,2013,27,3,13,2,11,10,3,1,12,0,13,0,9,4,1,0,11,0,1,1,3.0
28013018004P9,2014,27,3,14,4,10,11,3,2,12,0,14,0,9,5,2,0,11,0,1,1,3.0
28013018004P9,2015,27,3,15,4,11,12,3,2,13,0,15,0,9,6,2,0,12,0,1,1,3.0
28013018004P9,2016,27,3,14,4,10,11,3,3,11,0,14,0,10,4,3,0,10,0,1,1,3.0
28013018004P9,2017,27,4,14,4,10,12,2,3,11,0,14,0,10,4,3,0,10,0,1,1,4.0
28013018004P9,2018,27,4,14,4,10,12,2,3,11,0,14,0,10,4,3,0,10,0,1,1,4.0
28013018004P9,2019,27,4,16,5,11,14,2,3,13,0,16,0,12,4,3,0,12,0,1,1,4.0
28013018005P5,2013,2,3,11,0,11,11,0,0,0,11,11,0,7,4,0,0,11,0,0,1,3.0
28013018005P5,2014,2,3,11,0,11,11,0,0,11,0,11,0,8,3,0,0,11,0,0,1,3.0
28013018005P5,2015,2,3,12,0,12,12,0,0,12,0,12,0,9,3,0,0,12,0,0,1,3.0
28013018005P5,2016,2,3,12,0,12,12,0,0,12,0,12,0,9,3,0,0,12,0,0,1,3.0
28013018005P5,2017,2,3,12,1,11,12,0,1,11,0,12,0,9,3,0,0,12,0,0,1,3.0
28013018005P5,2018,2,3,11,1,10,11,0,1,10,0,11,0,8,3,0,0,11,0,0,1,3.0
28013018005P5,2019,2,3,11,1,10,11,0,1,10,0,11,0,8,3,0,0,11,0,0,1,3.0
28013018062P9,2016,45,4,18,4,14,18,0,8,10,0,16,2,16,2,0,0,18,0,0,1,4.0
28013018062P9,2017,45,4,19,3,16,19,0,6,13,0,18,1,17,2,0,0,19,0,0,1,4.0
28013018062P9,2018,45,4,17,3,14,17,0,4,13,0,17,0,14,3,0,0,17,0,0,1,4.0
28013018062P9,2019,45,4,20,6,14,19,1,5,15,0,20,0,16,4,1,0,19,0,0,1,4.0
28022017001P5,2013,42,5,26,9,17,26,0,2,23,1,26,0,19,7,3,17,6,0,0,2,5.0
28022017001P5,2014,42,5,28,10,18,26,2,4,22,2,28,0,20,8,5,17,6,0,0,2,5.0
28022017001P5,2015,42,5,27,10,17,25,2,5,20,2,27,0,20,7,6,16,5,0,0,2,5.0
28022017001P5,2016,42,5,25,10,15,22,3,4,19,2,25,0,18,7,5,16,4,0,0,2,5.0
28022017001P5,2017,42,4,25,10,15,22,3,4,18,3,25,0,18,7,5,16,4,0,0,2,4.0
28022017001P5,2018,42,4,25,11,14,22,3,4,16,5,25,0,18,7,5,15,5,0,0,2,4.0
28022017001P5,2019,42,4,24,12,12,22,2,5,13,6,24,0,19,5,5,14,5,0,0,2,4.0
28022017002P1,2013,42,3,13,5,8,13,0,0,13,0,13,0,12,1,1,6,5,1,0,1,3.0
28022017002P1,2014,42,3,14,6,8,14,0,1,13,0,14,0,13,1,2,7,5,0,0,1,3.0
28022017002P1,2015,42,3,15,7,8,15,0,1,13,1,15,0,15,0,2,7,5,0,1,1,3.0
28022017002P1,2016,42,3,15,7,8,15,0,1,13,1,15,0,15,0,2,7,5,0,1,1,3.0
28022017002P1,2017,42,3,14,7,7,14,0,1,12,1,14,0,14,0,2,7,5,0,0,1,3.0
28022017002P1,2018,42,3,15,8,7,15,0,6,3,6,15,0,15,0,6,7,0,0,2,1,3.0
28022017002P1,2019,42,3,15,7,8,15,0,6,2,7,15,0,14,1,6,8,0,0,1,1,3.0
28022017003P8,2013,42,3,20,8,12,20,0,0,20,0,20,0,18,2,0,8,11,0,1,1,3.0
28022017003P8,2014,42,3,21,8,13,21,0,0,21,0,21,0,19,2,0,9,11,0,1,1,3.0
28022017003P8,2015,42,3,21,8,13,21,0,0,21,0,21,0,19,2,0,9,11,0,1,1,3.0
28022017003P8,2016,42,3,20,8,12,20,0,1,18,1,20,0,19,1,1,10,8,0,1,1,3.0
28022017003P8,2017,42,4,18,9,9,18,0,1,15,2,18,0,17,1,1,9,7,0,1,1,4.0
28022017003P8,2018,42,4,17,9,8,17,0,2,13,2,17,0,16,1,2,7,7,0,1,1,4.0
28022017003P8,2019,42,4,16,8,8,16,0,8,2,6,16,0,15,1,0,6,8,0,2,1,4.0
28022017004P4,2013,23,3,18,9,9,18,0,0,18,0,18,0,17,1,0,18,0,0,0,1,3.0
28022017004P4,2014,23,3,18,9,9,18,0,0,18,0,18,0,17,1,0,18,0,0,0,1,3.0
28022017004P4,2015,23,3,18,9,9,18,0,0,18,0,18,0,17,1,0,18,0,0,0,1,3.0
28022017004P4,2016,23,3,17,8,9,17,0,0,15,2,17,0,16,1,0,17,0,0,0,1,3.0
28022017004P4,2017,23,3,16,7,9,16,0,0,12,4,16,0,15,1,0,16,0,0,0,1,3.0
28022017004P4,2018,23,3,16,7,9,16,0,0,12,4,16,0,15,1,0,16,0,0,0,1,3.0
28022017004P4,2019,23,3,16,7,9,16,0,1,11,4,16,0,15,1,1,15,0,0,0,1,3.0
28022017005P0,2013,34,3,12,2,10,11,1,2,10,0,12,0,10,2,0,10,0,2,0,1,3.0
28022017005P0,2014,34,3,19,6,13,18,1,1,17,1,19,0,15,4,0,16,0,1,2,1,3.0
28022017005P0,2015,34,3,19,6,13,18,1,1,17,1,19,0,14,5,1,16,0,0,2,1,3.0
28022017005P0,2016,34,3,20,6,14,19,1,1,17,2,20,0,14,6,1,17,0,0,2,1,3.0
28022017005P0,2017,34,3,19,5,14,18,1,2,13,4,19,0,15,4,2,15,0,0,2,1,3.0
28022017005P0,2018,34,3,19,6,13,19,0,2,7,10,19,0,17,2,2,15,0,0,2,1,3.0
28022017005P0,2019,34,3,16,6,10,16,0,2,5,9,16,0,14,2,2,13,0,0,1,1,3.0
28022017006P7,2013,42,3,15,4,11,15,0,0,14,1,15,0,14,1,0,15,0,0,0,1,3.0
28022017006P7,2014,42,3,18,6,12,18,0,0,14,4,18,0,17,1,0,18,0,0,0,1,3.0
28022017006P7,2015,42,3,18,5,13,18,0,0,14,4,18,0,17,1,0,18,0,0,0,1,3.0
28022017006P7,2016,42,3,17,4,13,17,0,0,13,4,17,0,16,1,0,17,0,0,0,1,3.0
28022017006P7,2017,42,3,17,4,13,17,0,0,13,4,17,0,16,1,0,17,0,0,0,1,3.0
28022017006P7,2018,42,3,16,2,14,16,0,0,10,6,16,0,14,2,0,16,0,0,0,1,3.0
28022017006P7,2019,42,3,16,2,14,16,0,0,10,6,16,0,14,2,0,16,0,0,0,1,3.0
28022017007P3,2013,42,3,24,10,14,24,0,0,0,24,22,2,22,2,0,24,0,0,0,1,3.0
28022017007P3,2014,42,3,23,10,13,23,0,1,20,2,23,0,20,3,1,22,0,0,0,1,3.0
28022017007P3,2015,42,3,22,9,13,22,0,1,17,4,22,0,20,2,1,21,0,0,0,1,3.0
28022017007P3,2016,42,3,22,9,13,22,0,1,17,4,22,0,20,2,1,21,0,0,0,1,3.0
28022017007P3,2017,42,3,20,8,12,20,0,1,13,6,20,0,18,2,1,19,0,0,0,1,3.0
28022017007P3,2018,42,3,17,7,10,17,0,1,11,5,17,0,15,2,1,16,0,0,0,1,3.0
28022017007P3,2019,42,3,16,7,9,16,0,3,4,9,16,0,15,1,3,13,0,0,0,1,3.0
28022017008P0,2013,39,3,24,7,17,24,0,1,23,0,23,1,20,4,1,21,2,0,0,1,3.0
28022017008P0,2014,39,3,19,5,14,19,0,1,18,0,18,1,16,3,1,18,0,0,0,1,3.0
28022017008P0,2015,39,3,18,5,13,18,0,0,16,2,17,1,15,3,0,18,0,0,0,1,3.0
28022017008P0,2016,39,3,18,5,13,18,0,0,16,2,17,1,15,3,0,18,0,0,0,1,3.0
28022017008P0,2017,39,3,15,3,12,15,0,0,13,2,14,1,14,1,0,15,0,0,0,1,3.0
28022017008P0,2018,39,3,14,3,11,14,0,0,13,1,14,0,13,1,0,14,0,0,0,1,3.0
28022017008P0,2019,39,3,16,4,12,16,0,1,11,4,16,0,15,1,1,15,0,0,0,1,3.0
28022017009P6,2013,42,4,17,4,13,16,1,1,16,0,17,0,14,3,0,15,1,1,0,2,4.0
28022017009P6,2014,42,4,13,2,11,12,1,1,12,0,13,0,10,3,0,11,1,1,0,2,4.0
28022017009P6,2015,42,4,12,1,11,11,1,1,11,0,12,0,9,3,0,11,1,0,0,2,4.0
28022017009P6,2016,42,4,12,0,12,11,1,1,11,0,12,0,9,3,0,11,1,0,0,2,4.0
28022017009P6,2017,42,4,13,1,12,12,1,1,12,0,13,0,10,3,0,10,1,0,2,2,4.0
28022017009P6,2018,42,4,13,1,12,12,1,1,12,0,13,0,10,3,0,10,1,0,2,2,4.0
28022017009P6,2019,42,4,16,1,15,15,1,5,11,0,16,0,13,3,5,8,1,0,2,2,4.0
28022017010P4,2013,38,3,13,10,3,13,0,0,0,13,11,2,13,0,0,13,0,0,0,1,3.0
28022017010P4,2014,38,3,14,11,3,14,0,0,13,1,13,1,13,1,0,14,0,0,0,1,3.0
28022017010P4,2015,38,3,14,11,3,14,0,1,11,2,13,1,13,1,1,13,0,0,0,1,3.0
28022017010P4,2016,38,3,14,11,3,14,0,0,13,1,13,1,13,1,0,14,0,0,0,1,3.0
28022017010P4,2017,38,3,13,11,2,13,0,0,12,1,12,1,12,1,0,13,0,0,0,1,3.0
28022017010P4,2018,38,3,12,10,2,12,0,0,11,1,11,1,12,0,0,12,0,0,0,1,3.0
28022017010P4,2019,38,3,17,12,5,17,0,1,16,0,17,0,16,1,1,16,0,0,0,1,3.0
28022017011P0,2014,40,3,20,8,12,20,0,0,5,15,17,3,20,0,0,20,0,0,0,1,3.0
28022017011P0,2015,40,3,25,11,14,25,0,3,5,17,20,5,25,0,3,22,0,0,0,1,3.0
28022017011P0,2016,40,3,25,11,14,25,0,3,5,17,21,4,25,0,3,22,0,0,0,1,3.0
28022017011P0,2017,40,3,24,10,14,24,0,2,4,18,22,2,23,1,1,22,0,0,1,1,3.0
28022017011P0,2018,40,3,25,11,14,25,0,2,5,18,23,2,24,1,1,23,0,0,1,1,3.0
28022017011P0,2019,40,3,30,14,16,30,0,3,5,22,30,0,28,2,2,27,0,0,1,1,3.0
28022017012P7,2017,31,3,10,6,4,10,0,8,1,1,10,0,7,3,0,10,0,0,0,1,3.0
28022017012P7,2018,31,3,13,8,5,13,0,2,0,11,13,0,10,3,1,12,0,0,0,1,3.0
28022017012P7,2019,31,3,14,8,6,14,0,3,0,11,14,0,10,4,1,12,0,0,1,1,3.0
28023013001P1,2013,45,4,18,8,10,17,1,0,18,0,18,0,14,4,0,0,18,0,0,1,4.0
28023013001P1,2014,45,4,16,7,9,15,1,0,16,0,16,0,12,4,0,0,16,0,0,1,4.0
28023013001P1,2015,45,4,15,7,8,15,0,0,15,0,15,0,12,3,0,0,15,0,0,1,4.0
28023013001P1,2016,45,4,15,7,8,15,0,0,15,0,15,0,12,3,0,0,15,0,0,1,4.0
28023013001P1,2017,45,5,20,10,10,20,0,1,19,0,20,0,17,3,0,0,20,0,0,1,5.0
28023013001P1,2018,45,5,22,11,11,22,0,1,21,0,22,0,19,3,0,0,22,0,0,1,5.0
28023013001P1,2019,45,5,21,10,11,21,0,2,19,0,21,0,18,3,0,0,21,0,0,1,5.0
28023013002P8,2013,45,4,17,5,12,16,1,0,17,0,17,0,11,6,0,0,17,0,0,2,4.0
28023013002P8,2014,45,4,17,4,13,16,1,0,17,0,17,0,11,6,0,0,17,0,0,2,4.0
28023013002P8,2015,45,4,18,4,14,17,1,1,17,0,18,0,12,6,1,0,17,0,0,2,4.0
28023013002P8,2016,45,4,17,5,12,17,0,1,16,0,17,0,13,4,1,0,16,0,0,2,4.0
28023013002P8,2017,45,5,17,5,12,17,0,3,14,0,17,0,13,4,3,0,14,0,0,2,5.0
28023013002P8,2018,45,5,19,6,13,19,0,3,16,0,19,0,15,4,3,0,16,0,0,2,5.0
28023013002P8,2019,45,5,20,6,14,20,0,3,17,0,20,0,16,4,3,0,17,0,0,2,5.0
28023013065P0,2017,45,4,21,10,11,21,0,21,0,0,21,0,18,3,1,0,20,0,0,1,4.0
28023013065P0,2018,45,4,23,11,12,23,0,21,2,0,23,0,20,3,1,0,22,0,0,1,4.0
28023013065P0,2019,45,4,24,11,13,24,0,21,3,0,24,0,21,3,1,0,23,0,0,1,4.0
28024010001P1,2013,45,3,22,6,16,22,0,4,18,0,21,1,20,2,6,0,16,0,0,1,3.0
28024010001P1,2014,45,3,24,8,16,24,0,6,18,0,23,1,22,2,6,0,18,0,0,1,3.0
28024010001P1,2015,45,3,24,6,18,24,0,4,20,0,21,3,22,2,4,0,20,0,0,1,3.0
28024010001P1,2016,45,3,31,10,21,30,1,6,23,2,27,4,29,2,8,0,23,0,0,1,3.0
28024010001P1,2017,45,1,26,7,19,26,0,8,18,0,23,3,26,0,6,0,20,0,0,1,1.0
28024010001P1,2018,45,1,18,4,14,18,0,5,13,0,17,1,18,0,2,0,16,0,0,1,1.0
28024010001P1,2019,45,1,17,4,13,17,0,5,12,0,16,1,17,0,2,0,15,0,0,1,1.0
28025016001P4,2013,16,4,35,16,19,34,1,22,13,0,35,0,29,6,8,23,2,2,0,2,4.0
28025016001P4,2014,16,4,34,14,20,33,1,25,9,0,33,1,26,8,10,21,1,2,0,2,4.0
28025016001P4,2015,16,4,31,13,18,30,1,24,7,0,30,1,23,8,10,19,0,2,0,2,4.0
28025016001P4,2016,16,4,35,13,22,34,1,27,8,0,34,1,26,9,10,23,0,2,0,2,4.0
28025016001P4,2017,16,6,37,16,21,36,1,28,6,3,36,1,30,7,8,27,0,2,0,2,6.0
28025016001P4,2018,16,6,40,18,22,39,1,33,4,3,39,1,34,6,8,31,0,1,0,2,6.0
28025016001P4,2019,16,6,39,18,21,38,1,32,4,3,38,1,33,6,8,30,0,1,0,2,6.0
28048016001P7,2013,49,3,26,12,14,26,0,19,3,4,26,0,24,2,0,0,26,0,0,1,3.0
28048016001P7,2014,49,3,31,15,16,31,0,23,3,5,30,1,29,2,0,0,31,0,0,1,3.0
28048016001P7,2015,49,3,32,16,16,32,0,22,3,7,31,1,30,2,0,0,32,0,0,1,3.0
28048016001P7,2016,49,3,33,17,16,33,0,21,2,10,32,1,31,2,0,0,33,0,0,1,3.0
28048016001P7,2017,49,3,32,16,16,32,0,22,0,10,31,1,30,2,1,0,31,0,0,1,3.0
28048016001P7,2018,49,3,33,19,14,33,0,22,0,11,33,0,31,2,2,0,31,0,0,1,3.0
28048016001P7,2019,49,3,26,16,10,26,0,19,0,7,26,0,25,1,6,0,20,0,0,1,3.0
28049012001P3,2014,49,3,19,9,10,19,0,0,18,1,19,0,17,2,0,17,2,0,0,1,3.0
28049012001P3,2015,49,3,23,10,13,23,0,0,17,6,23,0,21,2,0,21,2,0,0,1,3.0
28049012001P3,2016,49,3,20,9,11,20,0,0,14,6,20,0,18,2,0,20,0,0,0,1,3.0
28049012001P3,2017,49,3,17,7,10,17,0,0,11,6,17,0,16,1,0,17,0,0,0,1,3.0
28049012001P3,2018,49,3,17,8,9,17,0,0,10,7,17,0,16,1,0,17,0,0,0,1,3.0
28049012001P3,2019,49,3,16,8,8,16,0,1,9,6,16,0,15,1,0,15,1,0,0,1,3.0
28049012002P0,2016,4,3,15,2,13,15,0,0,0,15,15,0,14,1,0,15,0,0,0,1,3.0
28049012002P0,2017,4,3,15,3,12,15,0,0,0,15,15,0,14,1,0,15,0,0,0,1,3.0
28049012002P0,2018,4,3,17,4,13,17,0,0,0,17,17,0,16,1,0,17,0,0,0,1,3.0
28049012002P0,2019,4,3,17,4,13,17,0,0,0,17,17,0,16,1,0,17,0,0,0,1,3.0
29002001001P9,2015,42,3,14,0,14,14,0,3,0,11,13,1,13,1,2,11,0,0,1,1,3.0
29002001001P9,2016,42,3,14,0,14,14,0,3,0,11,14,0,13,1,2,11,0,0,1,1,3.0
29002001001P9,2017,42,3,16,2,14,16,0,3,0,13,16,0,15,1,2,13,0,0,1,1,3.0
29002001001P9,2018,42,3,17,3,14,17,0,3,0,14,17,0,16,1,2,14,0,0,1,1,3.0
29002001001P9,2019,42,3,16,3,13,16,0,3,0,13,16,0,15,1,2,13,0,0,1,1,3.0
29007003002P7,2017,45,4,21,10,11,20,1,1,1,19,21,0,14,7,2,19,0,0,0,2,4.0
29007003002P7,2018,45,4,26,14,12,25,1,1,1,24,26,0,19,7,2,24,0,0,0,2,4.0
29007003002P7,2019,45,4,22,12,10,21,1,1,1,20,22,0,17,5,2,20,0,0,0,2,4.0
29007003003P3,2017,49,3,23,6,17,23,0,1,0,22,23,0,17,6,0,23,0,0,0,1,3.0
29007003003P3,2018,49,3,23,6,17,23,0,1,0,22,23,0,17,6,0,23,0,0,0,1,3.0
29007003003P3,2019,49,3,26,7,19,26,0,2,1,23,26,0,20,6,1,25,0,0,0,1,3.0
29007003004P0,2017,46,3,12,9,3,12,0,0,0,12,12,0,12,0,0,12,0,0,0,1,3.0
29007003004P0,2018,46,3,20,12,8,20,0,5,1,14,20,0,20,0,5,15,0,0,0,1,3.0
29007003004P0,2019,46,3,40,23,17,40,0,6,2,32,40,0,40,0,5,34,1,0,0,1,3.0
29010004001P8,2016,26,3,14,2,12,11,3,5,9,0,14,0,9,5,1,0,13,0,0,1,3.0
29010004001P8,2017,26,3,17,4,13,13,4,5,12,0,17,0,11,6,1,0,16,0,0,1,3.0
29010004001P8,2018,26,3,16,3,13,13,3,4,12,0,16,0,10,6,1,0,15,0,0,1,3.0
29010004001P8,2019,26,3,14,2,12,12,2,4,10,0,14,0,9,5,1,0,13,0,0,1,3.0
30001013001P1,2013,38,4,30,23,7,30,0,0,30,0,30,0,26,4,1,29,0,0,0,2,4.0
30001013001P1,2014,38,4,38,26,12,38,0,0,38,0,38,0,34,4,1,37,0,0,0,2,4.0
30001013001P1,2015,38,4,36,24,12,36,0,0,36,0,36,0,33,3,1,35,0,0,0,2,4.0
30001013001P1,2016,38,4,35,24,11,35,0,0,34,1,35,0,32,3,1,34,0,0,0,2,4.0
30001013001P1,2017,38,5,33,23,10,33,0,0,30,3,33,0,30,3,1,32,0,0,0,2,5.0
30001013001P1,2018,38,5,34,24,10,34,0,0,28,6,34,0,30,4,1,33,0,0,0,2,5.0
30001013001P1,2019,38,5,35,23,12,33,2,2,27,6,35,0,29,6,3,32,0,0,0,2,5.0
30001013002P8,2013,8,4,16,10,6,15,1,3,1,12,16,0,16,0,0,13,0,3,0,2,4.0
30001013002P8,2014,8,4,18,10,8,17,1,3,2,13,18,0,18,0,0,14,0,3,1,2,4.0
30001013002P8,2015,8,4,21,12,9,20,1,3,2,16,21,0,21,0,0,17,0,3,1,2,4.0
30001013002P8,2016,8,4,20,11,9,19,1,2,2,16,20,0,20,0,0,17,0,2,1,2,4.0
30001013002P8,2017,8,5,24,13,11,23,1,4,3,17,24,0,23,1,0,18,0,2,4,2,5.0
30001013002P8,2018,8,5,22,12,10,21,1,4,2,16,22,0,21,1,0,16,0,2,4,2,5.0
30001013002P8,2019,8,5,24,13,11,23,1,3,2,19,24,0,23,1,1,18,0,2,3,2,5.0
30001013003P4,2013,10,4,16,4,12,16,0,2,14,0,16,0,8,8,2,13,1,0,0,2,4.0
30001013003P4,2014,10,4,15,4,11,15,0,2,13,0,15,0,7,8,2,13,0,0,0,2,4.0
30001013003P4,2015,10,4,15,4,11,15,0,2,13,0,15,0,7,8,2,13,0,0,0,2,4.0
30001013003P4,2016,10,4,15,4,11,15,0,2,13,0,15,0,7,8,2,13,0,0,0,2,4.0
30001013003P4,2017,10,5,16,4,12,16,0,2,12,2,16,0,7,9,2,14,0,0,0,2,5.0
30001013003P4,2018,10,5,18,5,13,18,0,2,13,3,18,0,8,10,2,16,0,0,0,2,5.0
30001013003P4,2019,10,5,20,5,15,20,0,3,13,4,20,0,8,12,3,17,0,0,0,2,5.0
30001013004P0,2013,14,4,18,3,15,16,2,2,15,1,18,0,11,7,1,16,0,1,0,2,4.0
30001013004P0,2014,14,4,19,2,17,17,2,2,15,2,19,0,11,8,1,17,0,1,0,2,4.0
30001013004P0,2015,14,4,19,2,17,17,2,2,15,2,19,0,11,8,1,17,0,1,0,2,4.0
30001013004P0,2016,14,4,22,3,19,19,3,2,17,3,22,0,14,8,1,20,0,1,0,2,4.0
30001013004P0,2017,14,5,30,5,25,25,5,4,17,9,30,0,20,10,3,26,0,1,0,2,5.0
30001013004P0,2018,14,5,26,4,22,23,3,4,16,6,26,0,17,9,3,22,0,1,0,2,5.0
