CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CONCEITO_PROGRAMA,Total_docentes,Mulheres,Homens,Brasileiros,Estrangeiros,QTDE_Regime_Parcial,QTDE_Regime_Integral,QTDE_Regime_Exclusivo,QTDE_Prof_Doutor,QTDE_Prof_NaoDoutor,QTDE_titulados_Brasil,QTDE_titulados_Exterior,Profs_Colaboradores,Profs_ServidoresPublicos,Profs_VinculoCLT,Profs_Aposentados,Profs_BolsaDeFixacao,Total_cursos,MEDIA_CONCEITO_CURSO
10001018012P7,2017,41,3,16,7,9,16,0,0,10,6,16,0,16,0,0,16,0,0,0,1,3.0
10001018012P7,2018,41,3,16,7,9,16,0,0,10,6,16,0,16,0,0,16,0,0,0,1,3.0
10001018012P7,2019,41,3,20,11,9,20,0,2,8,10,20,0,20,0,1,19,0,0,0,1,3.0
10001018013P3,2013,45,3,17,9,8,17,0,0,0,17,14,3,17,0,0,17,0,0,0,1,3.0
10001018013P3,2016,45,3,22,13,9,22,0,5,11,6,21,1,20,2,1,21,0,0,0,1,3.0
10001018013P3,2017,45,1,21,12,9,21,0,4,11,6,20,1,19,2,1,20,0,0,0,1,1.0
10001018015P6,2013,45,3,13,3,10,13,0,0,13,0,13,0,12,1,0,13,0,0,0,1,3.0
10001018015P6,2014,45,3,19,5,14,19,0,0,19,0,19,0,17,2,0,19,0,0,0,1,3.0
10001018015P6,2015,45,3,17,5,12,17,0,0,17,0,17,0,15,2,0,17,0,0,0,1,3.0
10001018015P6,2016,45,3,17,5,12,17,0,0,16,1,17,0,15,2,0,17,0,0,0,1,3.0
10001018016P2,2014,38,3,17,8,9,17,0,0,1,16,17,0,16,1,0,17,0,0,0,1,3.0
10001018016P2,2015,38,3,19,8,11,19,0,0,1,18,19,0,18,1,0,19,0,0,0,1,3.0
10001018016P2,2016,38,3,23,10,13,23,0,0,1,22,23,0,22,1,0,23,0,0,0,1,3.0
10001018016P2,2017,38,4,16,6,10,16,0,0,0,16,16,0,16,0,0,16,0,0,0,1,4.0
10001018016P2,2018,38,4,19,9,10,19,0,0,0,19,19,0,19,0,0,19,0,0,0,2,4.0
10001018016P2,2019,38,4,20,10,10,20,0,0,0,20,20,0,20,0,0,20,0,0,0,2,4.0
10001018017P9,2013,49,3,17,5,12,17,0,7,0,10,17,0,17,0,1,10,6,0,0,1,3.0
10001018017P9,2014,49,3,18,6,12,18,0,8,0,10,18,0,18,0,2,10,6,0,0,1,3.0
10001018017P9,2015,49,3,21,7,14,21,0,9,2,10,21,0,21,0,2,10,7,0,2,1,3.0
10001018017P9,2016,49,3,23,9,14,23,0,9,4,10,23,0,23,0,2,10,7,0,4,1,3.0
10001018017P9,2017,49,3,26,9,17,26,0,11,4,11,26,0,26,0,1,12,10,0,3,1,3.0
10001018017P9,2018,49,3,26,8,18,26,0,11,4,11,26,0,26,0,0,12,10,1,3,1,3.0
10001018017P9,2019,49,3,23,7,16,23,0,8,2,13,23,0,23,0,0,14,7,1,1,1,3.0
10001018039P2,2017,45,3,15,5,10,15,0,6,0,9,15,0,15,0,3,12,0,0,0,1,3.0
10001018039P2,2018,45,3,17,6,11,17,0,5,1,11,17,0,17,0,3,14,0,0,0,1,3.0
10001018039P2,2019,45,3,17,6,11,17,0,5,1,11,17,0,17,0,3,14,0,0,0,1,3.0
10001018040P0,2017,46,3,12,6,6,12,0,3,0,9,12,0,11,1,3,9,0,0,0,1,3.0
