,AN_BASE,CD_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,Qtd_Proj,Pesquisas,Outros projetos,CD_CONCEITO_PROGRAMA,Qtd_Financiamentos,BOLSA,OUTRO AUXÍLIO FINANCEIRO,SEM AUXÍLIO
296,2017,31001017009P5,ACADÊMICO,106,105,1,4,40,10,27,3
297,2017,31001017016P1,ACADÊMICO,25,21,4,7,240,105,134,1
298,2017,31003010092P6,PROFISSIONAL,46,39,7,4,20,5,14,1
299,2017,31005012021P0,ACADÊMICO,39,29,10,5,66,39,26,1
300,2017,31005012030P0,ACADÊMICO,44,39,5,4,42,36,5,1
301,2017,32001010033P6,ACADÊMICO,64,57,7,5,34,10,23,1
302,2017,32001010098P0,ACADÊMICO,45,41,4,4,38,17,20,1
303,2017,32004010001P0,ACADÊMICO,39,37,2,5,25,11,13,1
304,2017,32004010027P9,ACADÊMICO,34,31,3,3,24,3,20,1
305,2017,32005016009P3,ACADÊMICO,159,153,6,5,83,14,68,1
306,2017,32005016012P4,ACADÊMICO,132,113,19,4,49,8,40,1
307,2017,32005016038P3,ACADÊMICO,37,33,4,4,21,15,5,1
308,2017,32008015011P7,ACADÊMICO,30,29,1,4,25,5,19,1
309,2017,33002010052P0,ACADÊMICO,65,55,10,4,30,6,23,1
310,2017,33002010124P0,ACADÊMICO,107,104,3,7,116,16,98,2
311,2017,33144010017P0,ACADÊMICO,45,42,3,4,65,24,40,1
312,2017,33150010001P3,PROFISSIONAL,66,60,6,4,58,4,32,22
313,2017,40015017009P8,ACADÊMICO,70,64,6,4,35,6,28,1
314,2017,41001010049P9,ACADÊMICO,39,37,2,4,86,62,23,1
315,2017,41002016009P0,PROFISSIONAL,44,29,15,5,57,28,28,1
316,2017,41002016020P3,ACADÊMICO,54,40,14,4,63,37,25,1
317,2017,41005015007P6,PROFISSIONAL,40,26,14,3,10,1,8,1
318,2017,42004012020P9,ACADÊMICO,55,46,9,3,9,3,5,1
319,2017,42020018007P0,ACADÊMICO,43,41,2,4,48,38,9,1
320,2017,42046017005P0,ACADÊMICO,102,87,15,4,17,8,6,3
321,2017,52001016039P0,ACADÊMICO,46,39,7,4,79,45,31,3
322,2018,15001016044P0,ACADÊMICO,146,139,7,4,125,29,95,1
323,2018,16003012003P7,ACADÊMICO,100,93,7,5,63,10,48,5
324,2018,20009011002P0,ACADÊMICO,58,56,2,2,29,7,21,1
325,2018,21001014003P9,ACADÊMICO,97,91,6,4,81,28,49,4
326,2018,21001014022P3,ACADÊMICO,80,76,4,4,41,23,17,1
327,2018,22001018071P7,PROFISSIONAL,113,108,5,4,18,1,16,1
328,2018,23002018005P3,ACADÊMICO,228,199,29,3,120,72,47,1
329,2018,24009016025P1,ACADÊMICO,26,23,3,3,44,22,20,2
330,2018,25001019083P3,ACADÊMICO,19,16,3,4,12,5,5,2
331,2018,27001016017P6,ACADÊMICO,68,64,4,4,51,12,34,5
332,2018,28001010041P0,ACADÊMICO,50,44,6,4,21,11,8,2
333,2018,28007018016P0,ACADÊMICO,54,42,12,3,39,6,30,3
334,2018,28007018017P7,PROFISSIONAL,31,19,12,4,18,1,16,1
335,2018,30004012001P0,ACADÊMICO,47,26,21,3,37,8,28,1
336,2018,31001017016P1,ACADÊMICO,25,21,4,7,240,105,134,1
337,2018,31002013002P7,ACADÊMICO,50,49,1,6,180,94,85,1
338,2018,31003010092P6,PROFISSIONAL,48,40,8,4,18,5,12,1
339,2018,31005012021P0,ACADÊMICO,55,41,14,5,120,70,49,1
340,2018,31005012030P0,ACADÊMICO,49,43,6,4,47,40,6,1
341,2018,32001010033P6,ACADÊMICO,77,71,6,5,43,15,27,1
342,2018,32004010001P0,ACADÊMICO,41,39,2,5,27,11,15,1
343,2018,32005016009P3,ACADÊMICO,152,146,6,5,83,12,70,1
344,2018,32005016012P4,ACADÊMICO,119,101,18,3,45,6,38,1
345,2018,32008015011P7,ACADÊMICO,31,30,1,4,26,8,17,1
346,2018,33002010052P0,ACADÊMICO,62,52,10,4,31,6,24,1
347,2018,33002010124P0,ACADÊMICO,123,120,3,7,133,14,117,2
348,2018,33144010008P1,ACADÊMICO,71,54,17,4,40,2,37,1
349,2018,33150010001P3,PROFISSIONAL,66,61,5,4,54,3,32,19
350,2018,40014010003P3,ACADÊMICO,62,53,9,4,37,6,30,1
351,2018,40015017009P8,ACADÊMICO,80,74,6,4,37,9,27,1
352,2018,41001010049P9,ACADÊMICO,40,39,1,4,92,68,23,1
353,2018,41002016009P0,PROFISSIONAL,50,28,22,5,61,31,29,1
354,2018,41002016020P3,ACADÊMICO,60,41,19,4,75,40,34,1
355,2018,41004019004P0,ACADÊMICO,22,17,5,4,88,63,24,1
356,2018,41005015007P6,PROFISSIONAL,39,25,14,3,9,2,6,1
357,2018,42004012020P9,ACADÊMICO,50,43,7,2,6,3,2,1
358,2018,42020018007P0,ACADÊMICO,40,39,1,4,58,50,7,1
359,2018,42046017005P0,ACADÊMICO,104,87,17,4,26,15,8,3
360,2018,52001016039P0,ACADÊMICO,48,40,8,4,84,54,27,3
